Dataset,RulesFrom,Model,Accuracy (%),Precision (%),Recall (%),F1 Score (%),Balanced Accuracy (%),MCC (%),Error Rate (%),AUC (%),Time Training (s)
telco,DT,EBMLASSO,79.4889992902768,69.5852534562212,40.37433155080214,51.09983079526227,66.99875997829962,41.5896455183816,20.511000709723206,76.66472913275982,0.6239809989929199
telco,DT,FIGS,80.19872249822569,70.6140350877193,43.16353887399464,53.57737104825291,68.34817870340657,43.960728248910804,19.801277501774305,78.6378057490658,3.680683135986328
telco,DT,GAM,78.708303761533,66.81818181818183,39.3048128342246,49.494949494949495,66.12583636880312,39.23340058586652,21.291696238466994,76.87437030148028,0.14885568618774414
telco,DT,SLIM,78.708303761533,66.81818181818183,39.3048128342246,49.494949494949495,66.12583636880312,39.23340058586652,21.291696238466994,66.12583636880312,0.0559539794921875
telco,DT,TREEGAM,80.19872249822569,70.6140350877193,43.16353887399464,53.57737104825291,68.34817870340657,43.960728248910804,19.801277501774305,78.6378057490658,5.318876266479492
telco,RF,EBM,75.44357700496806,67.53246753246754,13.941018766756033,23.11111111111111,55.76394567681431,22.376218456700727,24.556422995031934,79.86481310878094,1.8647210597991943
telco,RF,EBMLASSO,73.52732434350602,50.12048192771085,55.61497326203209,52.72496831432193,67.80748663101605,34.50017977154688,26.472675656493973,75.92472034927277,1.560779094696045
telco,RF,FIGS,76.79205110007096,55.47619047619048,62.466487935656836,58.764186633039095,72.2081474427319,42.84043089701082,23.207948899929033,79.86481310878094,4.4487879276275635
telco,RF,GAM,76.72107877927608,55.693069306930695,60.16042780748663,57.84061696658098,71.43287090857423,41.85454320090865,23.278921220723912,74.66416078948048,0.1286928653717041
telco,RF,SLIM,73.45635202271114,0.0,0.0,0.0,50.0,0.0,26.543647977288853,50.0,0.11096405982971191
telco,RF,TREEGAM,75.44357700496806,67.53246753246754,13.941018766756033,23.11111111111111,55.76394567681431,22.376218456700727,24.556422995031934,79.42385127371723,24.608365058898926
titanic,DT,EBM,76.53631284916202,90.0,48.64864864864865,63.1578947368421,72.41956241956242,53.00663575594914,23.463687150837988,83.74517374517374,0.2435290813446045
titanic,DT,EBMLASSO,74.86033519553072,92.85714285714286,37.68115942028986,53.608247422680414,67.93148880105402,48.05070274087184,25.139664804469277,81.77206851119895,0.35219383239746094
titanic,DT,FIGS,76.53631284916202,90.0,48.64864864864865,63.1578947368421,72.41956241956242,53.00663575594914,23.463687150837988,83.74517374517374,3.688962936401367
titanic,DT,GAM,77.6536312849162,93.93939393939394,44.927536231884055,60.78431372549019,71.55467720685111,54.10769200199129,22.3463687150838,79.6574440052701,0.03284001350402832
titanic,DT,SLIM,77.6536312849162,73.77049180327869,65.21739130434783,69.23076923076923,75.33596837944664,52.033431872551404,22.3463687150838,75.33596837944663,0.023710966110229492
titanic,DT,TREEGAM,76.53631284916202,90.0,48.64864864864865,63.1578947368421,72.41956241956242,53.00663575594914,23.463687150837988,83.74517374517374,5.8411478996276855
titanic,RF,EBM,73.18435754189943,76.0,51.35135135135135,61.29032258064516,69.96138996138997,43.81788656773621,26.815642458100562,78.48133848133848,3.325904130935669
titanic,RF,EBMLASSO,69.83240223463687,75.86206896551724,31.88405797101449,44.89795918367347,62.76021080368906,33.71041540795388,30.16759776536313,73.12911725955205,2.7042200565338135
titanic,RF,FIGS,72.06703910614524,76.08695652173914,47.2972972972973,58.333333333333336,68.4105534105534,41.49565383985455,27.93296089385475,77.62548262548262,4.1079161167144775
titanic,RF,GAM,63.128491620111724,55.172413793103445,23.18840579710145,32.6530612244898,55.68511198945981,15.019147391359938,36.871508379888276,65.83662714097495,0.03078603744506836
titanic,RF,SLIM,65.92178770949721,58.69565217391305,39.130434782608695,46.95652173913044,60.92885375494072,24.345615668334204,34.0782122905028,69.36100131752305,1.157480001449585
titanic,RF,TREEGAM,73.18435754189943,74.07407407407408,54.054054054054056,62.5,70.36036036036036,43.68919865839549,26.815642458100562,77.33590733590734,23.307159185409546
